op_type,count,example_card_ids,coverage_impact
control_battlefield,285,OGN-056|SFD-001|OGN-255|OGN-303|OGN-303-STAR,285
modify_stats,185,UNL-205|OGN-056|SFD-001|OGN-119|OGN-119a,182
draw_cards,167,UNL-131|SFD-169|SFD-011|SFD-041|UNL-042,167
on_play_trigger,157,SFD-109|OGN-230|UNL-132|OGS-010|OGS-010-P,157
attach_gear,151,OGN-179|OGN-056|SFD-109|SFD-011|SFD-049,151
move_unit,141,SFD-109|UNL-207|SFD-041|UNL-170|SFD-050,141
ready,110,SFD-131|OGS-017|OGS-017-P|SFD-049|SFD-224,110
create_token,107,OGN-275|OGN-275a|SFD-198|SFD-019|SFD-197,107
remove_permanent,98,OGN-056|SFD-200|UNL-169|UNL-170|OGN-242,98
conquer_trigger,81,OGN-056|UNL-117|UNL-102|SFD-207|UNL-162,81
equip_trigger,81,SFD-109|SFD-049|SFD-224|SFD-224-STAR|SFD-198,81
combat_bonus,73,SFD-131|UNL-208|UNL-152|OGN-057|SFD-003,71
recycle_card,66,UNL-131|SFD-169|SFD-041|SFD-019|OGN-242,66
stun,55,UNL-042|SFD-079|SFD-228|SFD-228-STAR|UNL-133,55
deal_damage,54,OGS-001|OGS-001-P|UNL-042|UNL-133|UNL-139,54
keyword_hidden,54,OGN-107|UNL-042|OGN-097|OGN-057|UNL-139,54
generic,52,OGN-126|OGN-126a|SFD-R04|SFD-R04a|OGN-126b,52
keyword_deflect,50,UNL-041|SFD-071|UNL-153|OGN-231|OGN-161,50
combat_trigger,49,OGN-119|OGN-119a|SFD-227|SFD-227-STAR|OGN-148,49
gain_resource,47,OGN-230|SFD-049|SFD-224|SFD-224-STAR|UNL-170,47
summon_unit,47,OGN-107|UNL-109|UNL-148|UNL-149|UNL-149A,47
keyword_ganking,46,UNL-170|OGN-125|SFD-071|OGN-231|OGN-232,46
hold_trigger,44,OGN-066|OGN-066a|OGN-066-p|OGN-275|OGN-275a,44
death_trigger,41,SFD-169|UNL-152|UNL-153|UNL-073|UNL-062,41
phase_trigger,41,OGS-017|OGS-017-P|UNL|UNL-087|UNL-087A,41
cost_reduction,38,SFD-200|UNL-170|OGN-107|OGN-242|SFD-012,38
return_to_hand,36,UNL-131|UNL-132|OGS-010|OGS-010-P|UNL-169,36
keyword_accelerate,36,SFD-131|SFD-002|SFD-177|SFD-177A|OGN-001,36
channel_rune,35,OGN-230|SFD-049|SFD-224|SFD-224-STAR|UNL-152,35
shield,34,UNL-208|OGN-057|UNL-087|UNL-087A|UNL-071,34
discard_cards,32,UNL-121|OGN-002|OGN-003|SFD-123|UNL-123,32
keyword_tank,28,UNL-057|OGN-067|OGN-067-p|OGN-057|UNL-171,28
tribal_synergy,28,UNL-147|UNL-147A|UNL-238|SFD-071|UNL-196,28
scoring,25,OGN-066|OGN-066a|OGN-066-p|OGN-276|OGN-276a,25
keyword_repeat,25,SFD-080|SFD-003|SFD-151|SFD-122|UNL-182,25
keyword_weaponmaster,19,SFD-109|SFD-002|SFD-197|SFD-247|SFD-092,19
keyword_legion,17,OGN-016|OGN-243|OGN-243a|SFD-236|SFD-236-STAR,17
cost_increase,16,OGN-045|UNL-064|SFD-140|SFD-165|UNL-142,16
aura_buff,14,UNL-147|UNL-147A|UNL-238|OGN-015|OGN-243,14
return_from_graveyard,11,UNL-131|OGS-010|OGS-010-P|SFD-061|OGN-165,11
effect_amplifier,11,OGS-001|OGS-001-P|UNL-087|UNL-087A|UNL-020,11
interact_legend,11,SFD-079|SFD-228|SFD-228-STAR|SFD-210|OGN-281,11
location_aura,10,UNL-041|OGN-015|UNL-043|UNL-213|OGN-079,10
heal,10,UNL-206|OGS-020|SFD-053|OGN-269|SFD-173,10
play_restriction,8,UNL-057|UNL-147|UNL-147A|UNL-238|UNL-059,8
solo_combat,6,UNL-210|OGN-060|OGS-019|OGS-019-P|OGN-055,6
manipulate_priority,4,UNL-079|UNL-079A|UNL-011|UNL-146,4
stat_scaling,4,OGN-109|OGN-028|OGS-004|OGS-004-P,4
ability_copy,4,OGN-111|OGN-111a|ARC-003|OGN-111-P,4
hide_modifier,2,OGN-278|OGN-278a,2
targeting_discount,2,SFD-141|SFD-141A,2
follow_movement,2,OGN-177|OGN-177-P,2
conditional_buff,2,SFD-159|SFD-146,2
scoring_restriction,1,SFD-209,1
transform,1,UNL-081,1
